Centre,Province,Country,Web,Phone,Address,lat,lon,marker-color,marker-symbol,marker-size,image,Replied
Casa Sacro Cuore,EUM,Italy,www.gesuitiragusa.it,,"Via del Sacro Cuore 46, 97100 , Ragusa",36.922498,14.7173584,#808080,,,eum_casasa.jpg,
Curia,DIR,Italy,,,"Curia Generalizia, Borgo Santo Spirito 4, 00193, Rome",41.9013525,12.4605074,#008080,circle,small,dir_curia.jpg,
Pozzo di Sichar,EUM,Italy,www.pozzodisichar.it,070.8940660,"Via dei Ginepri 19, 09045 , Capitana (CA)",39.213468,9.315613,#808080,,,eum_pozzod.jpg,
Villa La Nuza,EUM,Italy,www.esercizi-altavilla.it,328.408.8060,"Via Piano Torre Marroia Contrada Sperone - 90010 , Altavilla Milicia (Pa)",38.0194884,13.5913486,#808080,,,eum_villal.jpg,
Villa San Giuseppe,EUM,Italy,www.villasangiuseppe.org,051.6142341,"Via di San Luca 24, 40135 , Bologna",44.4798243,11.2995842,#808080,,,eum_villas.jpg,
"Centre des Arts Spirituels - Notre-Dame de la Délivrance",PRO,Lebanon,bit.ly/2z5ZLM5,,Bikfaya,33.9206106,35.6815313,#808080,,,pro_centre.jpg,
Centre Jésuite pour la Spiritualité et la Pastorale,PRO,Lebanon,bit.ly/2z5qeJT,76-63 24 50,"B.P. 16-6778, Achrafieh, Beyrouth (Liban)",33.8868891,35.5191704,#808080,,,pro_centre.jpg,
Notre-Dame de la Consolata,PRO,Lebanon,www.facebook.com/cndctanail,,"Taanayel, B.P. 70, Zahlé, Békaa (Liban)",33.8007209,35.8692377,#000080,,small,pro_notre-.jpg,
Gyvenimo ir tikejimo institutas,LIT,Lithuania,gtinstitutas.lt,,Aleksoto g. 6 LT - 44280 Kaunas,54.8956176,23.8864054,#000080,,,lit_gyveni.jpg,
Dar Manresa,EUM,Malta,bit.ly/2z2JcAD,,"Triq Santa Dminka, Victoria VCT 9037, Gozo",36.042623,14.243795,#808080,circle-stroked,small,eum_darman.jpg,
Mount St Joseph Jesuit Spirituality Centre,EUM,Malta,www.mtsjoseph.org,,"Triq il-Missjunarji Maltin, Il-Mosta MST 9072",35.9142704,14.4144274,#808080,religious-christian,,eum_mounts.jpg,11
Platform Ignatian Spirituality,ELC,Netherlands,krijtberg.nl/platform-ignatian-spirituality/?lang=en,+31-(0)20-6798207,"Ignatiushuis, Beulingstraat 11, 1017 BA Amsterdam",52.3679644,4.8876541,#000080,,,elc_platfo.jpg,
Centre of Spiritual Formation (Dom Formacji Duchowej),PME,Poland,siec.jezuici.pl/dziela/dom-rekolekcyjny-oaza,,43-502 Czechowice-Dziedzice,49.9016056,18.9917677,#000080,,,pme_centre.jpg,12
Dom Formacji Duchowej Księży Jezuitów,PME,Poland,dfdkalisz.jezuici.pl,,ul. Św. Kingi 74/8442-226 Częstochowa,50.8116791,19.0851127,#000080,,,pme_domfor.jpg,
Europejskie Centrum Komunikacji i Kultury,PMA,Poland,www.eccc.pl, +48 22 872 04 41 ,WARSZAWA – ul. Początkowa 14/16,52.1539215,21.2110605,#0000FF,,,pma_europe.jpg,
Ignacjańskie Centrum Formacji Duchowej,PMA,Poland,www.icfd.pl,,"ul. Tatrzańska 35, 81-313 Gdynia",54.5162366,18.5273051,#0000FF,,,pma_ignacj.jpg,13
NMP Nieustającej Pomocy - Dom Rekolekcyjny,PME,Poland,www.gorka.jezuici.pl,,"ul. Ks. Kaszelewskiego 9, 34-500 ZAKOPANE",49.2963412,19.9424192,,,,pme_nmpnie.jpg,
Rezydencja Księży Jezuitów pw. Nawiedzenia NMP i Dom Rekolekcyjny,PME,Poland,www.dfdkalisz.jezuici.pl,,"ul. Stawiszyńska 2, 62-800 KALISZ",51.7668262,18.0945065,,,,pme_rezyde.jpg,
Św. Józefa - Dom Rekolekcyjny,PME,Poland,www.czechowice.jezuici.pl,,"Aleja św. Andrzeja Boboli 1, 43-502 CZECHOWICE-DZIEDZICE",49.9065324,19.0018226,,,,pme_św.józ.jpg,
A Casa,POR,Portugal,pontosj.pt/acasa,913 447 031,"Rua Nossa Senhora dos Milagres, 44, 3040-775 Cernache",40.1391456,-8.4706621,#FF00FF,,,por_acasa.jpg,
Casa da Torre,POR,Portugal,pontosj.pt/casadatorre/,"""+351 253 310 400","Avenida dos Viscondes da Torre, 80, 4730-579 Soutelo VVD",41.6100341,-8.4378946,#FF00FF,,,por_casada.jpg,14
Casa de Exercícios de Santo Inácio,POR,Portugal,pontosj.pt/casadesantoinacio/,21 928 9020,"Estrada do Rodízio, 124 – Praia Grande 2705-335 COLARES",38.8161709,-9.4718193,#FF00FF,,,por_casade.jpg,15
Centrul Spiritual Manresa,EUM,Romania,,0040.264.406.469,"Str. Tudor Arghezi, 2, 400363 Cluj Napoca",46.7465527,23.5819276,#808080,,,eum_centru.jpg,
Piestany- Exercičný dom SJ,SVK,Slovakia,jezuiti.sk/duchovne-cvicenia/ponuka-exercicnych-domov/#Piestany,,"Exercičný dom SJ, Poštová 1, 921 01 Piešťany",48.5904644,17.831763,#FF00FF,,,svk_piesta.jpg,
Presov - Exercičný dom sv. Ignáca,SVK,Slovakia,jezuiti.sk/duchovne-cvicenia/ponuka-exercicnych-domov/#Presov,,"Exercičný dom sv. Ignáca, Pod Kalváriou 81, 080 01 Prešov",48.9894123,21.2273375,#FF00FF,,,svk_presov.jpg,
Centro de Espiritualidad San Ignacio,ESP,Spain,www.cessalamanca.es,923 125 000,"Paseo San Antonio, 14-40, 37003 Salamanca",40.9646113,-5.6559544,#008080,,,esp_centro.jpg,
Comillas,ESP,Spain,www.comillas.edu,,"Universidad Comillas, 3 – 28049 Madrid",40.5506654,-3.6809452,#008080,,,esp_comill.jpg,
Cova St Ignasi,ESP,Spain,www.covamanresa.cat,,"Cova de Sant Ignasi Camí de la Cova 17, 08241 Manresa (Barcelona)",41.7215574,1.831179,#008080,,,esp_covast.jpg,
Loiola - Gipuzkoa,ESP,Spain,www.santuariodeloyola.org,,"Loiola Auzoa, 15 – 20730 Azpeitia (Gipuzkoa)",43.1731364,-2.2823535,#008080,,,esp_loiola.jpg,
Santuario San Francisco Javier,ESP,Spain,www.santuariojaviersj.org,,"Plaza San Francisco Javier, 4, 31411 JAVIER, Navarra",42.5942381,-1.2146105,#008080,,,esp_santua.jpg,
Lassalle-Haus and Lassalle-Institut,HEL,Switzerland,www.lassalle-haus.org, +41 41 757 14 14,"Bad Schönbrunn, CH-6313 Edlibach",47.175605,8.566015,#000080,,,hel_lassal.jpg,17
Notre dame de la route,HEL,Switzerland,www.domaine-ndr.ch, +41 26 409 75 00,"Notre dame de la route, Ch. des Eaux-Vives 17, 1752 Villars-sur-Glâne",46.7965317,7.131745,#000080,,,hel_notred.jpg,
Ignatian Spirituality Centre Glasgow,BRI,UK,www.iscglasgow.co.uk,0141-354 0077,35 Scott Street GLASGOW G3 6PE,55.8668466,-4.2644458,#FF00FF,,small,bri_ignati.jpg,18
London Jesuit Centre,BRI,UK,bit.ly/2z7HpdJ, +44 (0)20-7499 0285,"114 Mount Street, LONDON W1K 3AH",51.5098299,-0.1490017,#FF00FF,,small,bri_london.jpg,
St Beuno’s Jesuit Spirituality Centre,BRI,UK,www.pathwaystogod.org/org/st-beunos,0044 1745 583444,"Tremeirchion, Saint Asaph LL17 0AS",53.2573171,-3.3801855,#FF00FF,,,bri_stbeun.jpg,
